traj_id	mcc_tr_lower	mcc_tr_mean	mcc_tr_upper	mcc_ts_lower	mcc_ts_mean	mcc_ts_upper
2	0.904761379490946	0.908360571642038	0.911679805283196	0.889638367712281	0.89875054286542	0.906846595437181
3	0.640748061620195	0.645048340411877	0.649348501497026	0.641885072328706	0.652489111878725	0.663238904150246
4	0.516059383123058	0.519767218525589	0.523574533973671	0.507526436079244	0.516571548215318	0.525279149823779
5	0.443020967721714	0.446401770842941	0.449948647766425	0.445086071103538	0.451437770674416	0.457991305360605
6	0.396248293454861	0.399811814911837	0.40310215363171	0.38921595631934	0.396476168598465	0.40306067946483
7	0.356792863042463	0.35940642552684	0.361946532754663	0.353172753177741	0.359200175442229	0.365247032610516
8	0.326273014855096	0.329560298489624	0.332450796009999	0.325539155430748	0.331405736462728	0.337814076994296
9	0.305370319982798	0.307824128605311	0.310301686406559	0.308056403668641	0.313338671938057	0.319531932594677
10	0.295732162571572	0.297942895357827	0.300125374552934	0.293166189255951	0.298121381208176	0.302592011559554
11	0.284747079285765	0.28729688204982	0.289719488244604	0.287211511258932	0.292681777570505	0.297988910751044
12	0.277801655172911	0.280464362864893	0.282919198348358	0.277277211036766	0.282645426022783	0.287892930605713
13	0.270753515188047	0.272917914612267	0.27526222875708	0.267669608319583	0.272456543479868	0.27736120823134
14	0.262909342152683	0.265285531269756	0.267509622163255	0.262677296233462	0.267641333023203	0.272716927979852
15	0.257528077863251	0.259555891330942	0.261486634887886	0.257382311514582	0.2615801124747	0.265624677908466
